link,name,judge
http://www.spoj.com/problems/QTREE3/,Query on a tree again!,SPOJ
http://www.spoj.com/problems/QTREE2/,Query on a tree II,SPOJ
http://www.spoj.com/problems/COT/,Count on a tree,SPOJ
http://www.spoj.com/problems/QTREE/,Query on a tree,SPOJ
http://www.spoj.com/problems/GSS7/,Can you answer these queries VII,SPOJ
http://www.spoj.com/problems/COT2/,Count on a tree II,SPOJ
http://www.spoj.com/problems/OTOCI/,OTOCI,SPOJ
http://www.spoj.com/problems/QTREE5/,Query on a tree V,SPOJ
http://www.spoj.com/problems/QTREE4/,Query on a tree IV,SPOJ
http://www.codechef.com/problems/RRTREE,Tree,CodeChef
http://www.codechef.com/problems/PRIMEDST,Prime Distance On Tree,CodeChef
http://www.spoj.com/problems/QTREE6/,Query on a tree VI,SPOJ
http://www.spoj.com/problems/GOT/,Gao on a tree,SPOJ
http://www.codechef.com/problems/DGCD,Dynamic GCD,CodeChef
http://www.spoj.com/problems/BTCODE_G/,Coloring Trees,SPOJ
http://acm.timus.ru/problem.aspx?space=1&num=1553,Caves and Tunnels,Timus
http://www.codechef.com/problems/RRTREE2,Tree Again,CodeChef
http://www.codechef.com/problems/IDOLS,Idols and Fans,CodeChef
http://www.codechef.com/problems/QTREE6,Query on a tree VI,CodeChef
http://codeforces.com/problemset/problem/342/E,Xenia and Tree,Codeforces
http://www.spoj.com/problems/GRASSPLA/,Grass Planting,SPOJ
http://codeforces.com/problemset/problem/383/C,Propagating tree,Codeforces
https://icpcarchive.ecs.baylor.edu/index.php?option=onlinejudge&page=show_problem&problem=6218,Imperial roads,Live Archive
http://www.spoj.com/problems/COT3/,Combat on a tree,SPOJ
http://codeforces.com/problemset/problem/587/C,Duff in the Army,Codeforces
http://www.codechef.com/problems/QUERY,Observing the Tree,CodeChef
http://www.codechef.com/problems/FIBTREE,Fibonacci Numbers on Tree,CodeChef
http://www.codechef.com/problems/GERALD2,Black and White Tree,CodeChef
http://codeforces.com/problemset/problem/165/D,Beard Graph,Codeforces
http://www.codechef.com/problems/PUSHFLOW,Push the Flow!,CodeChef
http://codeforces.com/problemset/problem/593/D,Happy Tree Party,Codeforces
http://codeforces.com/problemset/problem/555/E,Case of Computer Network,Codeforces
http://codeforces.com/problemset/problem/22/E,Scheme,Codeforces
http://codeforces.com/problemset/problem/696/E,...Wait for it...,Codeforces
http://codeforces.com/problemset/problem/235/D,Graph Game,Codeforces
http://codeforces.com/problemset/problem/117/E,Tree or not Tree,Codeforces
